id,topic,boomer_style,gen_alpha_style,sentence_type,boomer,gen_alpha,semantic_preservation_score,notes,original_id,source_word_len,target_word_len,target_source_length_ratio
109,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions,You should learn to budget your allowance.,"Bro, you gotta learn to budget your allowance, it's gonna be a whole drama scene if you don't.",5,"The advice to budget is maintained and expressed in a more dramatic, contemporary style.",109,7,18,2.5714285714285716
1708,health and medicine,confused by technology,doomer and nihilistic,compliments or praise,Taking your medication as prescribed is crucial.,"Taking your meds exactly like the doctor said is low-key the only way, cause like, what else can you do?",5,"The instruction to take medication as prescribed is translated into 'doomer' style, emphasizing the lack of alternatives.",1708,7,20,2.857142857142857
1961,gaming and hobbies,confused by technology,low effort minimal energy,commands or instructions,You need to focus on your homework instead of playing games.,"Homework first, games later.",5,"The instruction to prioritize homework over games is maintained using concise, low-energy phrasing.",1961,11,4,0.36363636363636365
2586,relationships and dating,overly literal and pedantic,doomer and nihilistic,compliments or praise,Friendship should be mutually beneficial.,Friendships should make both people feel like they're getting something out of it.,5,Maintains the idea of mutual benefit in friendships.,2586,5,13,2.6
3831,family and home,passive-aggressive,doomer and nihilistic,compliments or praise,I can see you've put a lot of thought into your decorating choices.,The decor choices... something else.,5,"The passive-aggressive compliment about decorating choices is translated into a deadpan, sarcastic 'The decor choices... something else.' This maintains the subtle critique without being overtly negative and preserves the original intent.",3831,13,5,0.38461538461538464
3841,family and home,passive-aggressive,doomer and nihilistic,compliments or praise,Your determination is truly inspiring.,"The fact that you're even trying is kind of bleak, but go off.",4,"The praise for determination is twisted into a doomer-esque ironic comment, preserving the speech act of praise in a very Gen Alpha way but with a significant tonal shift.",3841,5,13,2.6
3940,family and home,using outdated idioms,unhinged chaos energy,compliments or praise,You're great at problem-solving.,"Your problem-solving is legit chaos energy, and it's kind of amazing.",4,"The praise is preserved, but 'unhinged chaos energy' is a stylistic interpretation rather than a direct translation of 'great at problem-solving'.",3940,4,11,2.75
4285,family and home,unsolicited advice-giver,extremely overdramatic,complaints or frustrations,You’re not taking your life seriously.,"Your whole life feels like a bit of a joke right now, you're not taking it seriously.",5,Conveys the frustration that life isn't being taken seriously in an overdramatic Gen Alpha style.,4285,6,17,2.8333333333333335
4522,money and work,worried and concerned parent,extremely overdramatic,compliments or praise,Your efforts really show.,The effort you're putting in is absolutely wild and will definitely pay off.,5,"The praise for efforts is maintained with an emphatic, slightly exaggerated tone.",4522,4,13,3.25
4546,money and work,worried and concerned parent,extremely overdramatic,compliments or praise,You're very trustworthy.,"You're super reliable, like, a whole trust machine.",5,Preserves the praise for trustworthiness using Gen Alpha casual phrasing.,4546,3,8,2.6666666666666665
4574,money and work,worried and concerned parent,extremely overdramatic,compliments or praise,Your resilience is admirable.,"You bounce back from stuff like a champ, that's pretty epic.",5,The admiration for resilience is conveyed using relatable and positive Gen Alpha phrasing.,4574,4,11,2.75
4643,money and work,full lecture mode,doomer and nihilistic,compliments or praise,You've shown great leadership potential.,"Great leadership potential? Yeah, like we're all just gonna ascend into the void anyway.",4,"The praise for leadership potential is reframed into a doomer/nihilistic comment, linking it to the general sense of impending doom.",4643,5,14,2.8
4682,money and work,overly literal and pedantic,extremely overdramatic,compliments or praise,Your professionalism is impressive.,This is literally the most professional thing I've ever witnessed in my entire life.,5,"The literal and pedantic praise is amplified into an overdramatic, almost theatrical compliment.",4682,4,14,3.5
4718,money and work,overly literal and pedantic,main character vibes,compliments or praise,"You manage resources efficiently, which is commendable.","You're so good at making resources go where they need to, you're basically the main character of efficiency.",5,"Preserves the praise for resource management with casual, internet-native phrasing.",4718,7,18,2.5714285714285716
5068,food and cooking,nostalgic for the good old days,extremely overdramatic,commands or instructions,Clean as you go.,"Clean up your mess as you make it, like, right now, or the universe implodes.",4,"Rephrases the 'clean as you go' instruction with an overdramatic, exaggerated consequence.",5068,4,15,3.75
5203,food and cooking,catastrophizing and dramatic,extremely overdramatic,commands or instructions,Don't waste food like it's nothing!,"Do NOT be wasting food, it's literally the worst thing you could possibly do, like, the whole planet will collapse!",5,"The strong warning against wasting food is preserved with dramatic, overdramatic language.",5203,6,20,3.3333333333333335
5685,relationships and dating,confused by technology,doomer and nihilistic,questions,Aren't you overthinking everything?,Is it even worth thinking about all this when the world's ending anyway?,4,The question about overthinking is recontextualized into a doomer sentiment about the futility of thought in a bleak world.,5685,4,13,3.25
5810,relationships and dating,passive-aggressive,doomer and nihilistic,questions,Are you really comfortable with this lifestyle?,"Is this way of life actually working for you, or is it just a vibe that's gonna end badly?",4,"The 'lifestyle' is translated to 'way of life' and the passive-aggressive tone is captured by suggesting it might end badly, leaning into the doomer aspect.",5810,7,19,2.7142857142857144
6107,technology and social media,full lecture mode,villain arc mentality,commands or instructions,"Stay updated with technological advancements,","Keep up with new tech, or you'll be left behind in the dust.",4,"The instruction to stay updated is preserved, with 'left behind in the dust' adding a dramatic, almost villain-arc feel.",6107,5,13,2.6
6125,technology and social media,full lecture mode,villain arc mentality,commands or instructions,"Participate positively in online communities,","Engage in online groups in a way that makes sense, not like a menace.",4,"The instruction to participate positively is rephrased to contrast with a negative behavior, fitting the 'villain arc' tone.",6125,5,14,2.8
6175,school and studying,full lecture mode,delulu and delusional optimism,warnings or advice,You should limit distractions while studying.,"You should totally ignore everything else when you're studying, that's the only way to ace it.",5,The advice to limit distractions is rephrased with exaggerated optimism and a focus on achieving success.,6175,6,16,2.6666666666666665
6255,school and studying,confused by technology,extremely overdramatic,warnings or advice,You should ask your teacher for help.,"Your teacher is literally right there, why aren't you asking them for help? This is going to be a disaster.",5,"The advice to ask a teacher for help is preserved, but the phrasing is more dramatic and highlights the perceived absurdity of not asking.",6255,7,20,2.857142857142857
6256,school and studying,confused by technology,ironic hype,warnings or advice,Stay organized with your materials.,"Yo, keep your stuff organized, it's gonna save you. You're gonna wanna be on top of that.",5,"The advice to stay organized is translated with informal hype, emphasizing the benefit in a positive, encouraging way.",6256,5,17,3.4
6257,school and studying,formal and slightly stiff,delulu and delusional optimism,warnings or advice,Be cautious with online resources.,"Online resources are a trap, fr. Like, do you even know what's real? Best to just not, probably.",4,"The warning to be cautious with online resources is translated into a more pessimistic and uncertain tone, leaning into the 'delulu' aspect by questioning the reality of online info.",6257,5,18,3.6
6402,school and studying,confused by technology,extremely overdramatic,warnings or advice,Why don’t you ever check your email?,My entire existence is crumbling because my email inbox is a wasteland! WHY ARE YOU DOING THIS TO ME?,4,"The confusion about email is framed as an extreme, overdramatic personal crisis, fitting the 'extremely overdramatic' target style. The core question about checking email is preserved, but amplified.",6402,7,19,2.7142857142857144
6441,school and studying,confused by technology,ironic hype,warnings or advice,Stay hydrated while you study.,"Hype yourself up to stay hydrated while you study, it's a whole mood.",4,"The advice to stay hydrated is presented with ironic hype, which is a Gen Alpha style, but the core meaning is preserved.",6441,5,13,2.6
6681,weather and environment,using outdated idioms,villain arc mentality,exclamations or reactions,It’s absolutely freezing today!,"This weather is absolutely freezing, I'm going to freeze to death.",4,"The Gen Alpha translation exaggerates the feeling of cold to match the 'villain arc mentality' target style, while preserving the core meaning of it being very cold.",6681,4,11,2.75
6689,weather and environment,completely out of touch with youth culture,delulu and delusional optimism,exclamations or reactions,Local wildlife can be unpredictable.,"Local wildlife can be unpredictable, but hey, maybe they'll become my cute little sidekicks.",4,"The Gen Alpha translation keeps the idea that wildlife can be unpredictable but adds an optimistic and slightly naive twist ('cute little sidekicks') to fit the 'delulu and delusional optimism' target style, which is a slight departure from pure meaning preservation.",6689,5,14,2.8
7524,health and medicine,unsolicited advice-giver,ironic hype,observations or statements,Don’t ignore symptoms; see a doctor.,"Don't just ignore when your body is trying to tell you something, hit up a doctor.",5,The advice to see a doctor when experiencing symptoms is preserved.,7524,6,16,2.6666666666666665
7593,fashion and style,confused by technology,deadpan sarcastic,compliments or praise,Your fashion choices inspire others.,The way you dress really makes other people want to dress that way too.,5,The idea that the fashion choices inspire others is maintained.,7593,5,14,2.8
7612,fashion and style,confused by technology,main character vibes,compliments or praise,I don't think I've ever seen you in anything less than fabulous.,You always look amazing.,5,"Translates the compliment about always looking fabulous into simpler, Gen Alpha-appropriate language.",7612,12,4,0.3333333333333333
7626,fashion and style,formal and slightly stiff,extremely overdramatic,compliments or praise,That dress fits you perfectly.,That dress fits you like it was literally sewed onto you by the universe's greatest tailor.,4,"The original is a direct compliment about a dress fitting perfectly. The target uses 'extremely overdramatic' phrasing with 'sewed onto you by the universe's greatest tailor' to exaggerate the perfection of the fit. The meaning is preserved but amplified to a dramatic degree, hence score 4.",7626,5,16,3.2
7747,fashion and style,confused by technology,doomer and nihilistic,compliments or praise,Your fashion sense is timeless.,"Your fashion sense is so old, it's like it exists outside of time.",4,"Timeless fashion sense is rephrased with a doomer twist, suggesting an outdated or irrelevant quality rather than classic enduring appeal.",7747,5,13,2.6
7781,fashion and style,formal and slightly stiff,extremely overdramatic,compliments or praise,You wear your clothes beautifully.,"You look absolutely unreal in that outfit, like a fashion icon just walked off a runway.",5,"The formal praise is translated into an extremely overdramatic, Gen Alpha-style compliment.",7781,5,16,3.2
