row_id,boomer,topic,boomer_style,gen_alpha_style,sentence_type
0,It’s important to set goals when gaming competitively.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
1,How can you enjoy playing those scary games?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
2,You could benefit from some outdoor activities instead of staying inside all the time.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
3,Respect the rules of each game you play.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
4,You might want to take a break from gaming before burnout.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
5,It's important to have a backup plan aside from gaming.,gaming and hobbies,overly literal and pedantic,deadpan sarcastic,requests or suggestions
6,Practice regularly to improve your skills in your favorite games.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
7,I think you should take a break from gaming to clear your mind.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
8,Perhaps you could take on a leadership role within your gaming group.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
9,Dedicate time to learning about coding or game development.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
10,Consider the impact of gaming violence on your mindset.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
11,You ought to appreciate the benefits of physical hobbies.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
12,You might find painting therapeutic.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
13,Might it benefit you to review your favorite games critically?,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
14,It’s good to socialize in the real world too.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
15,You should be open to constructive criticism from peers.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
16,You could benefit from collaborating with others on gaming projects.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
17,You might find more discipline through structured activities.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
18,Consider organizing your game time to make room for other activities.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
19,Why is it so hard for you to enjoy the outdoors?,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
20,It might be beneficial for you to join a local sports team or club.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
21,It's essential to save money instead of spending it on in-game purchases.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
22,Please remember that moderation is key in gaming.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
23,I believe you should invest in a high-quality headset for better communication.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
24,You should connect with people in real life more often.,gaming and hobbies,confused by technology,chronically online,requests or suggestions
25,How about you learn to cook instead of playing all day?,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
26,It may be wise to minimize distractions while studying.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
27,I hope you realize how much time you're wasting.,gaming and hobbies,passive-aggressive,low effort minimal energy,requests or suggestions
28,Engaging with the story can enhance your gaming experience.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
29,It's a good idea to learn from your mistakes in gaming.,gaming and hobbies,full lecture mode,chronically online,requests or suggestions
30,Plan your game nights ahead for better enjoyment.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
31,Balance your gaming schedule with social activities.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
32,What if you look back and regret all this time wasted?,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
33,Take this as a warning about your long-term health.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
34,Trying new hobbies is important for personal growth.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
35,Would it be acceptable for you to practice your strategy skills?,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
36,It's beneficial to pace yourself while playing competitive games.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
37,You ought to focus more on your future career options.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
38,Wouldn't it be wise to balance leisure with responsibility?,gaming and hobbies,overly literal and pedantic,deadpan sarcastic,requests or suggestions
39,Participate in gaming events for fun and learning.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
40,I think it's important to reflect on your gaming experiences.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
41,Engage in physical activities to offset your gaming time.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
42,Why do you talk about games as if they’re real life?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
43,I encourage you to share your passion for gaming with others.,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
44,That game looks a bit too intense for me.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
45,You really should explore different genres in gaming.,gaming and hobbies,confused by technology,unhinged chaos energy,requests or suggestions
46,I encourage you to be mindful of your gaming expenditures.,gaming and hobbies,overly polite to the point of awkward,ironic hype,requests or suggestions
47,That hobby could lead you somewhere great.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
48,Maybe take a break and do some gardening or something.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
49,You should connect more with nature outside of virtual worlds.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
50,Please consider the consequences of your choices.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
51,What’s the point of creating a character in a game?,gaming and hobbies,confused by technology,delulu and delusional optimism,requests or suggestions
52,You should consider more productive hobbies outside of gaming.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
53,You should try playing games that stimulate your brain.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
54,A break from gaming may enhance your overall mental health.,gaming and hobbies,overly literal and pedantic,deadpan sarcastic,requests or suggestions
55,"You need to manage your time better, especially with gaming.",gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
56,Remember that school is important and shouldn't fall behind.,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
57,I suggest you limit your gaming time to just a couple of hours a day.,gaming and hobbies,unsolicited advice-giver,NPC brainrot,requests or suggestions
58,Have you thought about taking a class for a new skill?,gaming and hobbies,confused by technology,chronically online,requests or suggestions
59,I think it’s time you explored some educational games.,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
60,"You should create something with your hands, not just digitally.",gaming and hobbies,confused by technology,chronically online,requests or suggestions
61,Maybe you should go for a walk instead of gaming.,gaming and hobbies,confused by technology,chronically online,requests or suggestions
62,You ought to focus on your studies instead of playing games all the time.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
63,Cooking can be a useful skill.,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions
64,Consider joining a local gaming community for support.,gaming and hobbies,full lecture mode,villain arc mentality,requests or suggestions
65,It's important to balance video games with other activities.,gaming and hobbies,full lecture mode,delulu and delusional optimism,requests or suggestions
66,Might you consider learning a musical instrument?,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
67,I strongly suggest you think about picking up a new skill outside of gaming.,gaming and hobbies,overly polite to the point of awkward,NPC brainrot,requests or suggestions
68,You might find joy in spending more time with family.,gaming and hobbies,nostalgic for the good old days,deadpan sarcastic,requests or suggestions
69,You should consider your gaming impact on your lifestyle.,gaming and hobbies,full lecture mode,main character vibes,requests or suggestions
70,Are you sure it's wise to spend all that money on new gear?,gaming and hobbies,worried and concerned parent,NPC brainrot,requests or suggestions
71,Please contemplate the possibility of organizing your game collection.,gaming and hobbies,overly polite to the point of awkward,deadpan sarcastic,requests or suggestions
72,You should focus on your responsibilities before gaming.,gaming and hobbies,overly literal and pedantic,delulu and delusional optimism,requests or suggestions
73,You really should reach out to others for support.,gaming and hobbies,catastrophizing and dramatic,doomer and nihilistic,requests or suggestions
