id,topic,boomer_style,gen_alpha_style,sentence_type,boomer,gen_alpha,semantic_preservation_score,notes,original_id,source_word_len,target_word_len,target_source_length_ratio,source_target_seq_similarity,source_target_token_jaccard
297,gaming and hobbies,using outdated idioms,extremely overdramatic,requests or suggestions,Maybe you should take a class.,Maybe you should take a class.,5,Keeps the suggestion to enroll in a class.,297,6,6,1.0,1.0,1.0
960,money and work,completely out of touch with youth culture,extremely overdramatic,questions,Have you looked into health insurance?,Have you looked into health insurance?,5,"The original sentence is a direct question about health insurance. The Gen Alpha version is also a direct question about health insurance, preserving the meaning and speech act.",960,6,6,1.0,1.0,1.0
961,money and work,using outdated idioms,extremely overdramatic,questions,Did you see the writing on the wall?,Did you see the writing on the wall?,5,"The original sentence is a question using an idiom. The Gen Alpha version retains the question and the idiom, preserving the meaning and speech act.",961,8,8,1.0,1.0,1.0
962,money and work,full lecture mode,NPC brainrot,questions,Have you thought about the risks of living paycheck to paycheck?,Have you thought about the risks of living paycheck to paycheck?,5,The original sentence asks if someone has considered the dangers of living paycheck to paycheck. The Gen Alpha version asks the same question using similar phrasing.,962,11,11,1.0,1.0,1.0
963,money and work,nostalgic for the good old days,NPC brainrot,questions,Why is it so hard for kids these days to find summer jobs?,Why is it so hard for kids these days to find summer jobs?,5,The original sentence expresses confusion about the difficulty young people face in finding summer jobs. The Gen Alpha version conveys the same sentiment and question.,963,13,13,1.0,1.0,1.0
964,money and work,using outdated idioms,ironic hype,questions,Cutting corners will only lead to trouble.,Cutting corners will only lead to trouble.,5,"The original sentence is a warning about the consequences of taking shortcuts. The Gen Alpha version is a direct translation of this warning, preserving the meaning and speech act.",964,7,7,1.0,1.0,1.0
965,money and work,completely out of touch with youth culture,extremely overdramatic,questions,Why don’t you ask for a raise?,Why don’t you ask for a raise?,5,"The original sentence is a suggestion framed as a question, encouraging someone to ask for a raise. The Gen Alpha version is a direct and casual phrasing of the same suggestion.",965,7,7,1.0,1.0,1.0
966,money and work,using outdated idioms,extremely overdramatic,questions,Are you planning to invest in your future?,Are you planning to invest in your future?,5,The original sentence is a question inquiring about someone's plans for future financial investment. The Gen Alpha version asks the same question directly.,966,8,8,1.0,1.0,1.0
968,money and work,formal and slightly stiff,chronically online,questions,Have you been keeping track of your investment portfolio?,Have you been keeping track of your investment portfolio?,5,"The original sentence asks about monitoring an investment portfolio. The Gen Alpha version uses very similar phrasing, preserving the direct question.",968,9,9,1.0,1.0,1.0
969,money and work,formal and slightly stiff,chronically online,questions,Could you share your thoughts on the gig economy?,Could you share your thoughts on the gig economy?,5,The original sentence is a polite request for an opinion on the gig economy. The Gen Alpha version is a direct translation of this request.,969,9,9,1.0,1.0,1.0
1795,health and medicine,using outdated idioms,NPC brainrot,compliments or praise,You're like a breath of fresh air in a crowded room.,You're like a breath of fresh air in a crowded room.,5,The idiom is preserved as it's still somewhat understandable and fits the praise.,1795,11,11,1.0,1.0,1.0
2502,weather and environment,passive-aggressive,unhinged chaos energy,requests or suggestions,Please don't leave trash in the park.,Please don't leave trash in the park.,5,The simple request is maintained with casual phrasing.,2502,7,7,1.0,1.0,1.0
3045,health and medicine,nostalgic for the good old days,unhinged chaos energy,questions,Always listen to your body when it tells you something.,"Listen to your body when it tells you something, always.",5,"The advice to listen to your body is preserved and rephrased with a slightly more emphatic, direct tone that can be associated with 'unhinged chaos energy' while still being clear advice.",3045,10,10,1.0,0.8703703703703703,1.0
3154,health and medicine,confused by technology,delulu and delusional optimism,questions,Do you even know what’s in those energy bars?,Do you even know what's in those energy bars?,5,"Maintains the question about the ingredients of energy bars with a slightly skeptical, casual tone.",3154,9,9,1.0,1.0,1.0
3461,politics and news,full lecture mode,chronically online,compliments or praise,You’re a breath of fresh air in political discussions.,"You're a breath of fresh air in political discussions, fr.",5,The praise is preserved and translated directly into informal Gen Alpha style. 'Fr' adds a casual emphasis without altering the meaning.,3461,9,10,1.1111111111111112,0.9724770642201835,0.9090909090909091
3628,relationships and dating,passive-aggressive,delulu and delusional optimism,complaints or frustrations,I can't believe you're still giving them second chances.,I can't believe you're still giving them second chances.,5,Frustration expressed directly and informally.,3628,9,9,1.0,1.0,1.0
3949,family and home,catastrophizing and dramatic,ironic hype,compliments or praise,"You should be grateful for the roof over your head, it’s a privilege you have.","You should be grateful for the roof over your head, it's a privilege you have.",5,"The statement of gratitude and its justification is preserved directly, even with the 'ironic hype' target style, as the phrasing itself is neutral enough.",3949,15,15,1.0,1.0,1.0
4382,family and home,full lecture mode,extremely overdramatic,complaints or frustrations,You're too young to be this lazy.,You're too young to be this lazy.,5,Directly translates the complaint about laziness into Gen Alpha style.,4382,7,7,1.0,1.0,1.0
4387,family and home,catastrophizing and dramatic,deadpan sarcastic,complaints or frustrations,You never appreciate anything I do for this family; it’s like talking to a wall.,"You never appreciate anything I do for this family, it's like talking to a wall.",5,Maintains the dramatic complaint and the simile.,4387,15,15,1.0,1.0,1.0
4780,technology and social media,completely out of touch with youth culture,delulu and delusional optimism,exclamations or reactions,You don’t need to have your phone on you all the time.,"You don't need to have your phone on you all the time, fr.",5,Preserves the advice and uses 'fr' for casual emphasis.,4780,12,13,1.0833333333333333,0.9724770642201835,0.9230769230769231
5084,food and cooking,worried and concerned parent,chronically online,commands or instructions,Don't overfill the pot; it might spill over when cooking.,Don't overfill the pot or it might spill over when cooking.,5,"The instruction to avoid overfilling a pot is preserved with clear, casual language.",5084,10,11,1.1,0.9734513274336283,0.9166666666666666
5158,food and cooking,worried and concerned parent,doomer and nihilistic,commands or instructions,Make sure you eat something healthy; it's good for your future.,"Make sure you eat something healthy, it's good for your future self.",5,The advice about eating healthy for the future is translated directly with slightly more casual wording.,5158,11,12,1.0909090909090908,0.9606299212598425,0.9230769230769231
5296,food and cooking,catastrophizing and dramatic,extremely overdramatic,commands or instructions,You can't just make a sandwich!,You can't just make a sandwich!,5,"The exclamation about not being able to simply make a sandwich is kept the same, maintaining the dramatic tone.",5296,6,6,1.0,1.0,1.0
5519,pop culture and entertainment,catastrophizing and dramatic,delulu and delusional optimism,compliments or praise,You’ll never understand art if you keep this up.,You'll never understand art if you keep this up.,5,The warning about understanding art is preserved directly with slightly more casual phrasing.,5519,9,9,1.0,1.0,1.0
5808,relationships and dating,nostalgic for the good old days,NPC brainrot,questions,Why don't people go on actual dates anymore?,Why don't people go on actual dates anymore?,5,Directly translates the question about the decline of traditional dating.,5808,8,8,1.0,1.0,1.0
6356,school and studying,passive-aggressive,delulu and delusional optimism,warnings or advice,Sleeping in class is not a good look.,Sleeping in class is not a good look.,5,"The warning about sleeping in class is maintained with a direct, casual phrasing.",6356,8,8,1.0,1.0,1.0
6358,school and studying,passive-aggressive,delulu and delusional optimism,warnings or advice,Look around; everyone else is studying.,"Look around, everyone else is studying.",5,The passive-aggressive observation is translated into a direct statement that preserves the original intent.,6358,6,6,1.0,1.0,1.0
6359,school and studying,passive-aggressive,delulu and delusional optimism,warnings or advice,You can't just wing it on a final exam.,You can't just wing it on a final exam.,5,The warning against not preparing for a final exam is preserved using common informal phrasing.,6359,9,9,1.0,1.0,1.0
7165,food and cooking,confused by technology,unhinged chaos energy,requests or suggestions,Please don’t leave the fridge door open.,"Don't leave the fridge door open, please.",5,The polite request to close the fridge is translated directly.,7165,7,7,1.0,0.8205128205128205,1.0
8694,travel and going out,completely out of touch with youth culture,main character vibes,complaints or frustrations,Why do you love visiting busy cities?,Why do you love visiting busy cities?,5,The question about enjoying busy cities is preserved directly.,8694,7,7,1.0,1.0,1.0
8697,travel and going out,using outdated idioms,chronically online,complaints or frustrations,This is a waste of time.,This is a waste of time.,5,The sentiment of wasting time is preserved directly with casual phrasing.,8697,6,6,1.0,1.0,1.0
9154,sports and fitness,nostalgic for the good old days,delulu and delusional optimism,questions,Do you think you'll ever run a marathon like we used to?,Think you'll ever run a marathon like we used to do?,5,"Keeps the nostalgic question about running a marathon, using 'used to do' for casualness.",9154,12,11,0.9166666666666666,0.9056603773584906,1.0
9195,sports and fitness,worried and concerned parent,delulu and delusional optimism,questions,Shouldn't you be careful about your competitive attitude?,Shouldn't you be careful about your competitive attitude?,5,"The warning about a competitive attitude is preserved with a direct, casual tone suitable for the target style.",9195,8,8,1.0,1.0,1.0
9196,sports and fitness,worried and concerned parent,delulu and delusional optimism,questions,What if you become too obsessed with winning?,What if you become too obsessed with winning?,5,"The hypothetical concern about obsession with winning is maintained in a clear, direct manner fitting the target style.",9196,8,8,1.0,1.0,1.0
9761,family and home,nostalgic for the good old days,low effort minimal energy,requests or suggestions,Please help your mom with the garden this spring.,Please help out Mom with the garden this spring.,5,"The request to help with the garden is kept, phrased more casually.",9761,9,9,1.0,0.968421052631579,0.8
9765,family and home,worried and concerned parent,deadpan sarcastic,requests or suggestions,Can you please be more considerate of your elders?,Can you please be more considerate of your elders?,5,The request for consideration towards elders is maintained directly.,9765,9,9,1.0,1.0,1.0
9799,family and home,worried and concerned parent,deadpan sarcastic,requests or suggestions,Can you please clean your room?,"Can you clean your room, please?",5,"The request to clean the room is preserved with a polite, direct tone.",9799,6,6,1.0,0.7666666666666667,1.0
9949,food and cooking,using outdated idioms,ironic hype,exclamations or reactions,It's about time you learned how to make that dish yourself.,It's about time you learned how to make that dish yourself.,5,"The statement that it's time to learn a dish is preserved with a slightly more informal, youthful tone.",9949,11,11,1.0,1.0,1.0
9960,food and cooking,catastrophizing and dramatic,rizz-coded smooth talker,exclamations or reactions,You can’t just wing it in the kitchen!,You can't just wing it in the kitchen!,5,"The original sentence is an exclamation expressing that improvisation is not acceptable in cooking. The Gen Alpha translation retains this meaning and uses a direct, casual tone.",9960,8,8,1.0,1.0,1.0
10079,food and cooking,formal and slightly stiff,chronically online,exclamations or reactions,Taking your time in the kitchen is important.,Taking your time in the kitchen is important.,5,"The formal statement about kitchen patience is rephrased to retain its meaning in a more casual, internet-native style.",10079,8,8,1.0,1.0,1.0
10696,travel and going out,catastrophizing and dramatic,chronically online,commands or instructions,Never ignore your gut feelings when traveling!,Never ignore your gut feelings when traveling!,5,The warning to trust instincts while traveling is maintained using direct and impactful phrasing.,10696,7,7,1.0,1.0,1.0
11147,pop culture and entertainment,confused by technology,chronically online,complaints or frustrations,These video game graphics are too much.,These video game graphics are too much.,5,Directly translates the complaint about overly complex video game graphics.,11147,7,7,1.0,1.0,1.0
11289,pop culture and entertainment,passive-aggressive,rizz-coded smooth talker,complaints or frustrations,You really think you can dance like that?,You really think you can dance like that?,5,Preserves the skeptical question about someone's dancing ability.,11289,8,8,1.0,1.0,1.0
12048,politics and news,worried and concerned parent,NPC brainrot,commands or instructions,It's important to vote in every election.,It's important to vote in every election.,5,The emphasis on the importance of voting is preserved directly.,12048,7,7,1.0,1.0,1.0
12912,pop culture and entertainment,using outdated idioms,deadpan sarcastic,questions,Why do you think that show is so popular?,Why do you think that show is so popular?,5,"The question about popularity is retained verbatim, as it can be interpreted with a deadpan sarcastic tone without altering the core meaning.",12912,9,9,1.0,1.0,1.0
13799,sports and fitness,confused by technology,deadpan sarcastic,exclamations or reactions,You think you can get fit just by watching videos?,You think you can get fit just by watching videos?,5,The rhetorical question implying disbelief is preserved with similar skeptical phrasing.,13799,10,10,1.0,1.0,1.0
13808,sports and fitness,catastrophizing and dramatic,rizz-coded smooth talker,exclamations or reactions,Your body is a temple; treat it right!,"Your body's a temple, treat it right!",5,"The metaphor is preserved and presented with an energetic, current tone.",13808,8,7,0.875,0.9859154929577465,0.7777777777777778
14381,mental health and feelings,unsolicited advice-giver,chronically online,complaints or frustrations,Don't let it get to you.,Don't let it get to you.,5,"The original phrase is already quite casual and direct, so minimal changes are needed. It preserves the meaning and speech act of advice.",14381,6,6,1.0,1.0,1.0
15445,technology and social media,passive-aggressive,delulu and delusional optimism,observations or statements,You won't get anywhere just scrolling.,Just scrolling won't get you anywhere.,5,The warning about the futility of excessive scrolling is translated directly into casual Gen Alpha phrasing.,15445,6,6,1.0,0.3783783783783784,1.0
16059,travel and going out,catastrophizing and dramatic,unhinged chaos energy,compliments or praise,You’ll get sick if you eat street food.,You will get sick if you eat street food.,5,"The warning is maintained directly, without changing the severe tone.",16059,8,9,1.125,0.9743589743589743,0.7777777777777778
16958,sports and fitness,using outdated idioms,villain arc mentality,requests or suggestions,How about joining a fitness class to meet new people?,How about joining a fitness class to meet people?,5,The suggestion to join a fitness class is maintained.,16958,10,9,0.9,0.96,0.9
16968,sports and fitness,nostalgic for the good old days,main character vibes,requests or suggestions,"Don't forget to stretch before your workout, it's important.",Don't forget to stretch before you work out; it's important.,5,"The advice to stretch, emphasizing its importance, is maintained with a natural, casual tone.",16968,9,10,1.1111111111111112,0.9827586206896551,0.6428571428571429
17173,gaming and hobbies,completely out of touch with youth culture,villain arc mentality,exclamations or reactions,Make sure you don’t miss out on real-life experiences.,Make sure you don't miss out on real life experiences.,5,The warning to not miss real-life experiences is preserved directly.,17173,9,10,1.1111111111111112,1.0,1.0
17178,gaming and hobbies,completely out of touch with youth culture,villain arc mentality,exclamations or reactions,What about trying some sports for exercise?,What about trying some sports for exercise?,5,The suggestion to engage in sports for exercise is preserved directly.,17178,7,7,1.0,1.0,1.0
17280,gaming and hobbies,unsolicited advice-giver,main character vibes,exclamations or reactions,"You should be studying, not playing that game.","You should be studying, not playing that game.",5,The original sentence is a direct piece of advice/command. The Gen Alpha version maintains this directness while using more common phrasing.,17280,8,8,1.0,1.0,1.0
17301,gaming and hobbies,using outdated idioms,doomer and nihilistic,exclamations or reactions,"You made your bed, now lie in it!","You made your bed, now lie in it!",5,"The idiom is preserved and understood across generations, though the Gen Alpha interpretation might be slightly more casual.",17301,8,8,1.0,1.0,1.0
17687,food and cooking,confused by technology,low effort minimal energy,questions,What does it mean to 'deglaze' a pan?,What does it mean to 'deglaze' a pan?,5,Directly translates the question about a cooking term into Gen Alpha phrasing.,17687,8,8,1.0,1.0,1.0
